wrong,right
0.76,0.5999999999999999
0.7700000000000001,0.5
0.79,0.53
0.79,0.5
0.76,0.45999999999999996
0.79,0.5199999999999999
0.8300000000000001,0.5700000000000001
0.6799999999999999,0.48
0.8099999999999999,0.5
0.8299999999999998,0.4600000000000001
0.72,0.47000000000000003
0.6900000000000001,0.44000000000000006
0.73,0.53
0.72,0.44000000000000006
0.72,0.5199999999999999
0.8699999999999999,0.53
0.8200000000000001,0.5700000000000001
0.8,0.55
0.75,0.48
0.8099999999999999,0.5900000000000001
0.77,0.5900000000000001
0.8100000000000002,0.41999999999999993
0.79,0.5399999999999999
0.6900000000000001,0.54
0.75,0.48
0.6900000000000001,0.36000000000000004
0.79,0.44000000000000006
0.8099999999999999,0.51
0.76,0.5
0.76,0.45
0.7100000000000001,0.6
0.78,0.45
0.77,0.5800000000000001
0.7899999999999999,0.4
0.85,0.5599999999999999
0.78,0.61
0.77,0.5800000000000001
0.7,0.51
0.8,0.54
0.71,0.5199999999999999
0.8400000000000001,0.55
0.76,0.51
0.79,0.45
0.66,0.47000000000000003
0.8100000000000002,0.42000000000000004
0.75,0.49000000000000005
0.82,0.47000000000000003
0.82,0.54
0.86,0.4699999999999999
0.78,0.48
